SOLUTION|PROFIT|REVENUE|TIME|DISTANCE|ITERATION
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 2[1], 21[0], 36[0], 9[0], 37[0], 4[1], 15[0], 25[0], 12[0], 48[0], 26[0], 23[0], 24[0], 22[1], 6[0], 14[0], 43[0], 7[0], 8[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -24.811434 | 5527.000000 | 1250.407981 | 44.407207 | 22
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 51[1], 46[0], 16[0], 35[0], 20[0], 2[1], 21[0], 36[0], 9[0], 37[0], 15[0], 4[1], 25[0], 12[0], 48[0], 26[0], 23[0], 24[0], 22[1], 8[0], 7[0], 43[0], 14[0], 6[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| 148.403512 | 5527.000000 | 1211.395605 | 44.407207 | 23
1, 25[0], 15[0], 4[1], 37[0], 9[0], 36[0], 21[0], 2[1], 20[0], 35[0], 16[0], 51[1], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 12[0], 48[0], 26[0], 23[0], 24[0], 22[1], 6[0], 14[0], 43[0], 7[0], 8[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 361.193060 | 5527.000000 | 1163.470031 | 16.124515 | 24
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 36[0], 21[0], 2[1], 9[0], 37[0], 4[1], 15[0], 25[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 693.464490 | 5527.000000 | 1088.634124 | 16.124515 | 25
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 36[0], 21[0], 2[1], 9[0], 37[0], 4[1], 15[0], 25[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 693.464490 | 5527.000000 | 1088.634124 | 16.124515 | 26
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 36[0], 21[0], 2[1], 9[0], 37[0], 4[1], 15[0], 25[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[1], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 812.180873 | 6090.000000 | 1188.698002 | 16.124515 | 27
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 36[0], 21[0], 2[1], 9[0], 37[0], 4[1], 15[0], 25[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[1], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 812.180873 | 6090.000000 | 1188.698002 | 16.124515 | 28
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 36[0], 21[0], 2[1], 9[0], 37[0], 4[1], 15[0], 25[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[1], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 812.180873 | 6090.000000 | 1188.698002 | 16.124515 | 29
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 36[0], 21[0], 2[1], 9[0], 37[0], 4[1], 15[0], 25[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[1], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 812.180873 | 6090.000000 | 1188.698002 | 16.124515 | 30
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 3[1], 28[0], 31[0], 50[1], 29[0], 11[0], 12[0], 22[1], 8[0], 7[0], 43[0], 14[0], 6[0], 48[0], 26[0], 23[0], 24[0], 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1057.854133 | 6415.000000 | 1206.564384 | 16.124515 | 31
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 3[1], 28[0], 31[0], 50[1], 29[0], 11[0], 12[0], 22[1], 8[0], 7[0], 43[0], 14[0], 6[0], 48[0], 26[0], 23[0], 24[0], 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1057.854133 | 6415.000000 | 1206.564384 | 16.124515 | 32
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 3[1], 28[0], 31[0], 50[1], 29[0], 11[0], 12[0], 22[1], 8[0], 7[0], 43[0], 14[0], 6[0], 48[0], 26[0], 23[0], 24[0], 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1057.854133 | 6415.000000 | 1206.564384 | 16.124515 | 33
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 3[1], 28[0], 31[0], 50[1], 29[0], 11[0], 12[0], 22[1], 8[0], 7[0], 43[0], 14[0], 6[0], 48[0], 26[0], 23[0], 24[0], 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 46[0], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1057.854133 | 6415.000000 | 1206.564384 | 16.124515 | 34
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 35
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 36
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 37
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 38
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 39
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 40
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 41
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 42
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 43
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 44
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 45
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 46
1, 25[0], 15[0], 4[1], 37[0], 19[1], 40[0], 47[0], 45[0], 33[0], 46[0], 39[0], 17[0], 44[0], 41[0], 42[0], 13[0], 18[0], 24[0], 23[0], 26[0], 48[0], 6[0], 14[0], 43[0], 7[0], 8[0], 22[1], 12[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 51[1], 16[0], 35[0], 20[0], 2[1], 21[1], 36[0], 9[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 5[1], 27[1], 1| 1092.893077 | 6415.000000 | 1198.672730 | 16.124515 | 47
